City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Yumen,CN,2022-05-22 04:43:46,40.2833,97.2,82.42,11,0,24.25
254,Pastos Bons,BR,2022-05-22 04:43:47,-6.6017,-44.0767,69.4,91,67,3.06
255,Birao,CF,2022-05-22 04:43:47,10.2849,22.7882,77.97,62,99,4.07
256,Batagay,RU,2022-05-22 04:43:48,67.6333,134.6333,53.02,44,98,2.37
257,Machachi,EC,2022-05-22 04:43:48,-0.5,-78.5667,51.3,93,59,4.81
258,Filadelfia,US,2022-05-22 04:40:47,39.9523,-75.1638,80.98,73,20,10.36
259,Na Wa,TH,2022-05-22 04:43:49,17.4897,104.1006,90.23,68,97,11.34
260,Lae,PG,2022-05-22 04:43:49,-6.7221,146.9847,92.07,63,28,7.56
261,Sao Jose Da Coroa Grande,BR,2022-05-22 04:43:50,-8.8978,-35.1478,76.78,84,91,13.98
262,Opuwo,NA,2022-05-22 04:43:50,-18.0607,13.84,51.51,19,0,8.14
263,Tezu,IN,2022-05-22 04:43:51,27.9167,96.1667,86.43,63,39,3.51
264,Fevik,NO,2022-05-22 04:44:51,58.3794,8.6766,42.57,76,100,2.37
265,Ankang,CN,2022-05-22 04:39:58,32.68,109.0172,72.9,69,96,2.59
266,Roswell,US,2022-05-22 04:41:39,34.0232,-84.3616,76.86,76,0,5.75
267,Sorong,ID,2022-05-22 04:35:45,-0.8833,131.25,82.65,75,98,2.8
268,Hualmay,PE,2022-05-22 04:44:52,-11.0964,-77.6139,63.41,88,74,7.34
269,Yatou,CN,2022-05-22 04:44:53,37.15,122.3833,83.84,33,0,6.67
270,Saint-Pierre,RE,2022-05-22 04:44:53,-21.3393,55.4781,75.9,53,0,5.75
271,Victoria Point,AU,2022-05-22 04:44:54,-27.5833,153.3,71.56,85,98,7.0
272,Kinston,US,2022-05-22 04:43:32,35.2627,-77.5816,75.52,88,0,6.91
273,Puerto Baquerizo Moreno,EC,2022-05-22 04:44:55,-0.9,-89.6,71.49,88,34,7.99
274,Lebu,CL,2022-05-22 04:44:55,-37.6167,-73.65,52.79,89,97,15.01
275,Carpentras,FR,2022-05-22 04:44:56,44.0833,5.1667,59.79,62,23,3.29
276,Elk Plain,US,2022-05-22 04:44:56,47.0532,-122.3976,58.48,68,0,5.75
277,Novyy Urengoy,RU,2022-05-22 04:44:57,66.0833,76.6333,40.46,74,100,6.17
278,Namatanai,PG,2022-05-22 04:44:57,-3.6667,152.4333,84.09,65,93,12.82
279,Preobrazheniye,RU,2022-05-22 04:44:58,42.9019,133.9064,55.6,90,55,4.79
280,Kismayo,SO,2022-05-22 04:44:58,-0.3582,42.5454,81.81,76,72,15.86
281,Jalu,LY,2022-05-22 04:44:59,29.0331,21.5482,64.42,67,0,8.88
282,Santa Maria,BR,2022-05-22 04:43:00,-29.6842,-53.8069,50.16,89,88,2.53
283,Muros,ES,2022-05-22 04:45:00,42.7762,-9.0603,64.09,92,90,0.81
284,Haapiti,PF,2022-05-22 04:45:01,-17.5667,-149.8667,80.33,71,17,10.98
285,Bathsheba,BB,2022-05-22 04:45:01,13.2167,-59.5167,81.21,74,20,19.57
286,Uppsala,SE,2022-05-22 04:45:02,60.0,17.75,40.51,93,0,0.0
287,Biak,ID,2022-05-22 04:45:02,-0.9131,122.8766,83.23,67,31,5.08
288,Itarema,BR,2022-05-22 04:45:03,-2.9248,-39.9167,74.17,91,22,7.63
289,Collipulli,CL,2022-05-22 04:45:03,-37.95,-72.4333,46.65,87,96,5.48
290,Loreto,MX,2022-05-22 04:45:04,22.2667,-101.9667,69.55,20,2,9.37
291,Gotsu,JP,2022-05-22 04:45:04,35.0,132.2167,70.54,71,0,13.4
